"Date","Price","Open","High","Low","Vol.","Change %"
"17-05-2024","3,773.82","3,853.65","3,858.52","3,769.64","223.62K","-1.70%"
"16-05-2024","3,839.13","3,827.76","3,848.68","3,784.20","33.44K","0.51%"
"15-05-2024","3,819.49","3,840.75","3,868.56","3,814.27","71.06K","-0.55%"
"14-05-2024","3,840.75","3,864.57","3,883.32","3,832.73","19.29K","-1.14%"
"13-05-2024","3,884.90","3,827.02","3,892.97","3,808.96","68.50K","1.31%"
"10-05-2024","3,834.75","3,902.81","3,911.48","3,823.72","119.84K","-1.62%"
"09-05-2024","3,897.94","3,897.25","3,907.74","3,849.71","24.88K","-0.32%"
"08-05-2024","3,910.39","3,889.57","3,921.51","3,878.25","25.10K","-0.14%"
"07-05-2024","3,915.85","3,864.28","3,925.75","3,851.33","68.88K","1.47%"
"06-05-2024","3,859.21","3,799.41","3,877.32","3,794.54","53.33K","2.12%"
"03-05-2024","3,779.13","3,820.77","3,832.24","3,738.48","149.07K","-0.63%"
"02-05-2024","3,803.15","3,740.40","3,809.50","3,723.18","76.80K","1.08%"
"30-04-2024","3,762.65","3,809.89","3,819.15","3,750.24","98.71K","-1.24%"
"29-04-2024","3,809.89","3,765.60","3,816.88","3,760.09","22.30K","1.51%"
"26-04-2024","3,753.05","3,799.11","3,815.06","3,741.63","114.19K","-1.01%"
"25-04-2024","3,791.44","3,754.38","3,811.27","3,748.08","86.42K","0.54%"
"24-04-2024","3,771.16","3,828.99","3,834.90","3,764.17","38.53K","-1.11%"
"23-04-2024","3,813.44","3,819.15","3,833.81","3,800.84","61.70K","0.23%"
"22-04-2024","3,804.82","3,768.55","3,818.51","3,755.66","51.99K","0.99%"
"19-04-2024","3,767.42","3,780.36","3,791.39","3,741.39","223.10K","-0.93%"
"18-04-2024","3,802.91","3,828.74","3,874.27","3,790.60","65.78K","-0.23%"
"16-04-2024","3,811.57","3,847.69","3,866.49","3,803.05","163.35K","-1.76%"
"15-04-2024","3,879.83","3,932.34","3,999.28","3,858.52","104.65K","-1.47%"
"12-04-2024","3,937.56","3,920.04","3,950.31","3,886.08","179.59K","0.45%"
"10-04-2024","3,920.09","3,888.10","3,926.73","3,855.17","109.59K","0.90%"
"09-04-2024","3,885.24","3,917.58","3,952.08","3,863.54","81.11K","-0.64%"
"08-04-2024","3,910.39","3,917.58","3,966.79","3,897.99","90.38K","-0.17%"
"05-04-2024","3,917.14","3,917.58","3,939.13","3,897.40","93.07K","-0.59%"
"04-04-2024","3,940.27","3,907.78","3,964.14","3,874.27","42.26K","1.41%"
"03-04-2024","3,885.34","3,799.02","3,918.76","3,795.23","62.26K","1.67%"
"02-04-2024","3,821.71","3,828.94","3,844.25","3,814.23","44.05K","-0.83%"
"01-04-2024","3,853.84","3,838.83","3,870.33","3,825.64","58.87K","0.82%"
"28-03-2024","3,822.64","3,795.97","3,853.25","3,780.27","80.50K","1.20%"
"27-03-2024","3,777.31","3,835.83","3,835.83","3,768.50","71.44K","-1.02%"
"26-03-2024","3,816.29","3,836.42","3,884.11","3,811.27","203.86K","-0.92%"
"22-03-2024","3,851.73","3,837.85","3,876.63","3,795.52","275.93K","-1.53%"
"21-03-2024","3,911.72","3,922.89","3,945.58","3,886.92","64.93K","0.09%"
"20-03-2024","3,908.18","3,923.48","3,954.98","3,898.38","136.94K","-0.18%"
"19-03-2024","3,915.17","3,992.04","3,992.09","3,903.70","25.58M","-4.03%"
"18-03-2024","4,079.74","4,151.35","4,187.72","4,052.13","39.49K","-1.72%"
