"Date","Price","Open","High","Low","Vol.","Change %"
"05-12-2019","714.85","706.45","715.90","703.80","4.81M","0.85%"
"04-12-2019","708.85","697.00","710.50","693.35","7.43M","1.50%"
"03-12-2019","698.35","692.70","699.70","688.55","5.24M","0.82%"
"02-12-2019","692.70","703.10","704.00","690.30","9.38M","-0.52%"
"29-11-2019","696.35","700.90","702.30","691.55","4.26M","-0.78%"
"28-11-2019","701.85","699.10","703.35","694.05","4.84M","0.88%"
"27-11-2019","695.75","694.25","697.65","690.10","3.86M","0.75%"
"26-11-2019","690.60","705.00","707.25","686.00","27.25M","-1.07%"
"25-11-2019","698.10","693.35","705.15","693.20","7.33M","0.71%"
"22-11-2019","693.20","711.75","712.00","685.10","14.42M","-2.81%"
"21-11-2019","713.25","715.50","721.45","710.50","9.69M","0.04%"
"20-11-2019","713.00","712.80","715.00","705.00","6.14M","0.02%"
"19-11-2019","712.85","709.90","714.00","705.00","6.50M","1.08%"
"18-11-2019","705.20","705.00","710.00","699.30","7.49M","0.18%"
"15-11-2019","703.90","709.05","712.95","702.30","7.36M","-0.20%"
"14-11-2019","705.30","696.35","709.80","696.35","10.54M","2.02%"
"13-11-2019","691.35","696.50","700.00","687.75","9.97M","-1.85%"
"11-11-2019","704.40","698.90","707.20","698.00","6.95M","-0.53%"
"08-11-2019","708.15","722.00","724.25","705.50","8.59M","-1.66%"
"07-11-2019","720.10","717.00","724.35","712.10","13.73M","1.10%"
"06-11-2019","712.30","695.80","721.50","692.00","21.37M","2.33%"
"05-11-2019","696.10","708.75","708.75","691.50","12.90M","-1.82%"
"04-11-2019","709.00","681.80","732.50","678.15","29.38M","3.07%"
"01-11-2019","687.90","690.00","694.00","682.60","9.71M","0.34%"
"31-10-2019","685.60","668.40","695.45","666.10","27.41M","3.78%"
"30-10-2019","660.60","660.40","671.40","656.20","22.88M","1.53%"
"29-10-2019","650.65","651.00","653.75","647.00","16.71M","0.28%"
"27-10-2019","648.85","648.85","648.85","648.85","","1.79%"
"25-10-2019","637.45","647.00","652.50","636.00","16.55M","0.33%"
"24-10-2019","635.35","650.00","653.20","632.00","25.67M","-2.34%"
"23-10-2019","650.60","630.00","656.65","615.10","60.52M","1.10%"
"22-10-2019","643.55","691.10","691.10","638.35","90.15M","-16.19%"
"18-10-2019","767.85","763.80","773.80","760.00","10.04M","-0.21%"
"17-10-2019","769.50","767.00","770.55","765.10","9.86M","-0.25%"
"16-10-2019","771.45","765.25","775.95","761.55","10.77M","0.41%"
"15-10-2019","768.30","773.10","775.95","765.00","13.76M","-2.26%"
"14-10-2019","786.10","786.75","797.00","780.00","15.15M","-3.52%"
"11-10-2019","814.80","781.50","823.80","776.60","20.64M","4.05%"
"10-10-2019","783.05","785.40","794.70","776.60","10.40M","-0.08%"
"09-10-2019","783.65","795.45","795.90","778.80","6.34M","-0.75%"
"07-10-2019","789.55","794.85","802.00","786.10","3.68M","-0.49%"
"04-10-2019","793.45","790.00","797.60","787.05","8.20M","1.00%"
"03-10-2019","785.60","792.55","797.85","784.15","5.50M","-1.00%"
"01-10-2019","793.55","807.00","807.55","791.55","5.88M","-1.50%"
"30-09-2019","805.65","785.10","808.00","784.15","8.18M","3.00%"
"27-09-2019","782.20","787.05","794.25","780.10","5.09M","-0.04%"
"26-09-2019","782.55","787.75","797.00","778.10","18.44M","-1.27%"
